Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
1,266667.0,60840.0,73706.0,132372.0,154545.0,0.0,0.0,56100.0,45828.0,10272.0,33811.0,34767.0,35094.0,91194.0,454.0,0.0,808.0,18847.0,52023.0,872.0,1711.0,971.0,51.0,9444.0,9495.0,36253.0,2528.0,197760.0,2635549.0,36958.0,122216.0,105221.0,108634.0,121019.0,121842.0,121847.0,0.0,1847.0,1054.0,0.0,4162373,2399435,973192,275856,2905325,89757.0
2,65404.0,0.0,71603.0,86798.0,98195.0,15341.0,0.0,31038.0,13393.0,17645.0,24235.0,17970.0,24235.0,55273.0,129.0,0.0,281.0,24900.0,26330.0,442.0,194.0,1756.0,1073.0,5622.0,6695.0,30916.0,0.0,105398.0,1284395.0,27626.0,98557.0,90490.0,109477.0,95132.0,92739.0,92742.0,0.0,1419.0,3703.0,0.0,3454531,1863019,811431,278332,2364112,65654.0
3,154642.0,61076.0,53195.0,194362.0,58138.0,38600.0,0.0,23700.0,13538.0,10162.0,37288.0,13320.0,37288.0,60988.0,178.0,0.0,245.0,16593.0,24983.0,922.0,175.0,1107.0,3714.0,11560.0,15274.0,22392.0,901.0,277145.0,707603.0,10300.0,221061.0,181877.0,172408.0,181307.0,179537.0,60395.0,0.0,1171.0,13299.0,0.0,5628613,3270810,1229811,736443,3659179,44920.0
4,71845.0,29014.0,17601.0,100180.0,14194.0,0.0,0.0,8316.0,4466.0,3850.0,10078.0,0.0,10078.0,18394.0,5.0,0.0,0.0,6888.0,6971.0,562.0,0.0,0.0,3.0,651.0,654.0,10234.0,0.0,14006.0,21385.0,18210.0,105646.0,169885.0,159034.0,98694.0,101931.0,25055.0,0.0,0.0,0.0,0.0,2279966,1301796,441361,308639,1527088,4578.0
5,29586.0,2638.0,10071.0,50713.0,10205.0,0.0,0.0,32.0,32.0,0.0,9958.0,0.0,9958.0,9990.0,2641.0,0.0,6.0,2969.0,635.0,852.0,0.0,15.0,6.0,1467.0,1473.0,17889.0,0.0,27540.0,270567.0,2289.0,63927.0,56848.0,55849.0,56326.0,56270.0,0.0,0.0,0.0,0.0,0.0,1316372,847321,312977,112176,891170,3459.0
6,106664.0,4142.0,30162.0,159291.0,22445.0,324.0,17.0,17337.0,15397.0,1940.0,22549.0,14659.0,22549.0,39886.0,87.0,0.0,34.0,4293.0,21648.0,924.0,5.0,302.0,21.0,6287.0,6308.0,17797.0,0.0,127607.0,281620.0,8553.0,168395.0,119684.0,112005.0,113927.0,150923.0,28840.0,0.0,5203.0,5177.0,0.0,4400425,2431241,780044,534996,3082383,23232.0
7,71613.0,14300.0,11081.0,120096.0,11066.0,3855.0,2425.0,3930.0,2929.0,1001.0,9454.0,1916.0,9454.0,13384.0,6.0,0.0,67.0,3859.0,10149.0,741.0,6.0,2133.0,26.0,2084.0,2110.0,5605.0,0.0,57398.0,191150.0,2641.0,120054.0,104617.0,97844.0,99728.0,80239.0,13107.0,0.0,22.0,712.0,0.0,1259671,738308,320443,84574,854213,10054.0
8,83681.0,56284.0,32200.0,88745.0,54370.0,25830.0,20265.0,30752.0,18998.0,11754.0,21621.0,1450.0,21621.0,52373.0,77.0,0.0,19.0,8995.0,37876.0,1102.0,23.0,0.0,21.0,3365.0,3386.0,30089.0,0.0,100178.0,1539050.0,20825.0,73755.0,86731.0,79223.0,75075.0,64734.0,78027.0,0.0,1365.0,664.0,0.0,3110368,1119291,708417,335349,2059948,55621.0
9,83366.0,7441.0,57367.0,76210.0,33641.0,0.0,0.0,25040.0,5302.0,19738.0,16177.0,0.0,16177.0,41217.0,15520.0,41.0,59.0,8494.0,366.0,879.0,2.0,4.0,28.0,7493.0,7521.0,34647.0,0.0,104709.0,1113146.0,20016.0,81846.0,79285.0,77523.0,76833.0,72840.0,78750.0,0.0,0.0,0.0,0.0,3088228,1734555,549195,394360,2141117,45154.0
10,64409.0,0.0,54601.0,61854.0,61410.0,20173.0,0.0,52031.0,34498.0,17533.0,15363.0,8896.0,15363.0,67394.0,516.0,1.0,208.0,16833.0,34267.0,939.0,3.0,80.0,46.0,2149.0,2195.0,26325.0,0.0,137048.0,1756332.0,24626.0,51048.0,48784.0,49026.0,48159.0,49177.0,49177.0,0.0,56.0,132.0,0.0,1996608,719795,471194,271454,1246133,54334.0
11,53559.0,2439.0,16123.0,74941.0,21009.0,1070.0,47.0,3752.0,2590.0,1162.0,27661.0,4207.0,27662.0,31414.0,1.0,0.0,182.0,652.0,7036.0,1019.0,122.0,229.0,93.0,6919.0,7012.0,7730.0,0.0,62245.0,434638.0,6192.0,79989.0,75508.0,71163.0,76700.0,70644.0,20174.0,0.0,3702.0,40.0,13.0,1716412,889007,460806,214929,1040383,14654.0
12,81347.0,0.0,16363.0,120572.0,28759.0,0.0,0.0,16.0,16.0,0.0,36427.0,0.0,36427.0,36443.0,0.0,14.0,151.0,5904.0,0.0,845.0,121.0,782.0,11.0,7380.0,7391.0,13617.0,0.0,87999.0,3052684.0,17521.0,105466.0,92268.0,90163.0,96661.0,103395.0,36957.0,0.0,0.0,0.0,0.0,3072171,1455210,799665,325372,1946328,19701.0
13,73740.0,26642.0,27359.0,163691.0,27322.0,18519.0,0.0,23407.0,14761.0,8646.0,24473.0,0.0,24473.0,47880.0,156.0,0.0,94.0,17956.0,0.0,846.0,19.0,2110.0,215.0,5095.0,5310.0,25120.0,54.0,151148.0,1188016.0,11839.0,155611.0,154634.0,146912.0,149864.0,176132.0,76000.0,0.0,0.0,0.0,0.0,4181206,1910686,985918,314456,2879062,42528.0
14,79760.0,79760.0,68415.0,67652.0,47605.0,15299.0,0.0,11499.0,9103.0,2396.0,31288.0,6763.0,31288.0,42787.0,0.0,0.0,330.0,13664.0,58326.0,923.0,14.0,0.0,33.0,2741.0,2774.0,23098.0,0.0,146450.0,1358800.0,24511.0,71416.0,73688.0,69959.0,69714.0,69698.0,64427.0,0.0,3773.0,7823.0,0.0,2343829,1214517,455287,310655,1573700,58326.0
15,73912.0,0.0,35086.0,107900.0,37295.0,9456.0,0.0,20860.0,8031.0,12829.0,12785.0,0.0,12785.0,33645.0,63.0,0.0,98.0,11742.0,31753.0,857.0,734.0,316.0,21.0,2456.0,2477.0,16365.0,0.0,100940.0,784053.0,18484.0,100176.0,91614.0,90591.0,93957.0,98031.0,45206.0,0.0,0.0,0.0,0.0,3507907,1905636,797946,223998,2485119,32564.0
16,94756.0,65845.0,49251.0,83847.0,75623.0,37026.0,14218.0,48350.0,17203.0,31147.0,30032.0,25825.0,30032.0,78382.0,1040.0,110.0,6938.0,9831.0,45970.0,797.0,1791.0,4805.0,567.0,4290.0,4857.0,44272.0,0.0,200181.0,2379928.0,39961.0,97780.0,96612.0,89254.0,97262.0,88569.0,96718.0,0.0,153.0,439.0,4.0,3486319,1325956,842246,204564,2438151,62373.0
17,85018.0,56923.0,56427.0,90874.0,74647.0,19936.0,1339.0,52512.0,46650.0,5862.0,25753.0,50091.0,25753.0,78265.0,264.0,15.0,3582.0,18553.0,31365.0,864.0,106.0,1433.0,133.0,6849.0,6982.0,45304.0,4697.0,200061.0,1895568.0,45337.0,167876.0,99397.0,91898.0,97459.0,97387.0,97387.0,0.0,2136.0,5979.0,3.0,0,0,0,0,0,64022.0
18,49428.0,2529.0,17342.0,68078.0,24365.0,0.0,0.0,9612.0,8377.0,1235.0,17971.0,0.0,17971.0,27583.0,28.0,0.0,220.0,5010.0,9936.0,906.0,0.0,117.0,250.0,2533.0,2783.0,5297.0,0.0,34075.0,380664.0,6814.0,91174.0,76616.0,78252.0,85740.0,90175.0,20407.0,0.0,0.0,0.0,0.0,1854234,1040956,341333,267043,1241837,12627.0
19,22330.0,19944.0,14836.0,23089.0,13592.0,4195.0,3531.0,10266.0,8172.0,2094.0,14427.0,9728.0,14427.0,24693.0,3.0,1320.0,80.0,8753.0,13667.0,950.0,34.0,0.0,61.0,8474.0,8535.0,5118.0,0.0,21776.0,263218.0,9421.0,30958.0,29971.0,28492.0,27314.0,25850.0,21203.0,0.0,3613.0,2589.0,241.0,917872,485203,263729,107820,545958,15315.0
20,107915.0,0.0,18671.0,126881.0,59767.0,0.0,0.0,11143.0,6489.0,4654.0,34900.0,10367.0,34900.0,46043.0,0.0,0.0,168.0,149.0,17943.0,901.0,173.0,630.0,19.0,7353.0,7372.0,17458.0,0.0,50523.0,1368666.0,9894.0,137071.0,111835.0,106176.0,103997.0,120266.0,34176.0,0.0,11.0,508.0,0.0,2978955,1675508,458383,383398,2134747,24319.0
21,5438.0,4123.0,3575.0,41314.0,13861.0,35.0,0.0,3986.0,2329.0,1657.0,10201.0,0.0,10201.0,14187.0,0.0,0.0,32.0,1873.0,9388.0,936.0,21.0,86.0,0.0,1464.0,1464.0,0.0,0.0,5429.0,55017.0,10524.0,45767.0,47089.0,46196.0,45343.0,40941.0,45172.0,0.0,0.0,0.0,0.0,2032591,1102263,477323,134019,1419338,14869.0
22,35785.0,12384.0,11788.0,69443.0,9937.0,6795.0,4995.0,7508.0,7076.0,432.0,23474.0,0.0,23474.0,30982.0,3129.0,117.0,38.0,3158.0,5020.0,536.0,39.0,364.0,23.0,3248.0,3271.0,4563.0,0.0,32642.0,331151.0,6640.0,67370.0,53419.0,54233.0,65920.0,62193.0,15704.0,0.0,0.0,0.0,0.0,1504629,962999,341414,116251,1042944,4926.0
23,73053.0,10881.0,46545.0,74063.0,71665.0,963.0,18.0,13037.0,9553.0,3484.0,24456.0,0.0,24456.0,37493.0,1713.0,0.0,382.0,6858.0,5930.0,909.0,62.0,97.0,102.0,4404.0,4506.0,28059.0,0.0,160434.0,1146235.0,26939.0,74615.0,71136.0,65626.0,67783.0,60527.0,60471.0,0.0,2032.0,2358.0,39.0,2349565,1281966,505775,322479,1517050,35243.0
24,51113.0,13692.0,15834.0,47658.0,16766.0,6566.0,25.0,8986.0,6493.0,2493.0,8967.0,3382.0,8967.0,17953.0,49.0,3.0,14.0,2391.0,11501.0,862.0,7.0,1068.0,9.0,2009.0,2018.0,7701.0,200.0,53684.0,249733.0,7243.0,82163.0,69410.0,70941.0,74270.0,78597.0,20978.0,0.0,98.0,995.0,131.0,1784656,987864,444353,105512,1234280,13391.0
25,77028.0,5753.0,19019.0,93834.0,28442.0,51.0,31.0,7706.0,4814.0,2892.0,22066.0,129.0,22066.0,29772.0,530.0,0.0,33.0,3240.0,7078.0,708.0,208.0,845.0,242.0,1540.0,1782.0,8851.0,0.0,37522.0,160072.0,6693.0,104170.0,78548.0,74119.0,75495.0,94901.0,22746.0,116.0,319.0,1180.0,22.0,2530912,1360222,646479,353635,1528606,9143.0
26,65291.0,31851.0,19961.0,78553.0,26640.0,0.0,0.0,8054.0,5467.0,2587.0,5816.0,5141.0,5816.0,13870.0,6.0,0.0,5748.0,3345.0,16583.0,741.0,6.0,1953.0,11.0,6505.0,6516.0,13467.0,0.0,56269.0,448138.0,11432.0,97648.0,88638.0,87590.0,91090.0,92081.0,37140.0,0.0,0.0,0.0,0.0,2355308,1367478,535135,157291,1659979,18687.0
27,41270.0,20310.0,18689.0,52517.0,20779.0,0.0,0.0,9137.0,5549.0,3588.0,10546.0,7404.0,10588.0,19725.0,1007.0,3045.0,6.0,246.0,3351.0,807.0,0.0,268.0,11.0,1526.0,1537.0,4778.0,389.0,22085.0,287274.0,7953.0,49511.0,37511.0,36216.0,46062.0,44792.0,11080.0,0.0,18.0,10.0,0.0,1499221,964210,407259,89664,1000284,12427.0
28,91870.0,52171.0,43433.0,147232.0,53717.0,14.0,0.0,16649.0,7793.0,8856.0,19976.0,5206.0,19976.0,36625.0,0.0,0.0,32.0,5265.0,15038.0,889.0,440.0,1801.0,190.0,2634.0,2824.0,14694.0,328.0,113428.0,572399.0,28446.0,174583.0,131514.0,124446.0,148067.0,156021.0,58331.0,0.0,125.0,992.0,0.0,4211733,2690506,1095096,219573,2892925,23227.0
29,60351.0,25890.0,23549.0,111554.0,23286.0,0.0,0.0,11737.0,9833.0,1904.0,28208.0,0.0,28208.0,39945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,2246.0,4564.0,6810.0,8553.0,0.0,22013.0,42525.0,8735.0,108614.0,182459.0,172566.0,155269.0,91785.0,29545.0,0.0,0.0,0.0,0.0,3434605,1937785,728881,393197,2310997,0.0
30,91447.0,0.0,41527.0,111236.0,49506.0,11311.0,0.0,9.0,9.0,0.0,16066.0,0.0,16066.0,16075.0,72.0,6.0,68.0,3312.0,12417.0,777.0,0.0,721.0,13.0,7136.0,7149.0,12595.0,16.0,77103.0,167177.0,1930.0,135035.0,139424.0,131202.0,128393.0,116499.0,33731.0,0.0,829.0,1527.0,0.0,3218023,1415605,726666,362352,2122334,24633.0
31,158574.0,54774.0,100359.0,149555.0,96689.0,4961.0,0.0,52020.0,32200.0,19820.0,37535.0,28606.0,37633.0,89653.0,883.0,0.0,946.0,8656.0,91167.0,958.0,315.0,559.0,21.0,14630.0,14651.0,44736.0,0.0,164325.0,957249.0,30840.0,129209.0,126053.0,120115.0,126003.0,127018.0,73316.0,0.0,0.0,0.0,5.0,4227785,2390474,729893,551331,2944705,89526.0
32,32109.0,10218.0,9396.0,40100.0,13333.0,0.0,0.0,2874.0,2601.0,273.0,16454.0,0.0,16454.0,19328.0,1272.0,0.0,99.0,2361.0,1822.0,902.0,19.0,2609.0,257.0,3532.0,3789.0,7590.0,0.0,48837.0,415134.0,8192.0,48604.0,44095.0,43011.0,42078.0,47119.0,7800.0,0.0,0.0,0.0,0.0,1085756,599512,284408,148442,652841,7401.0
33,134747.0,0.0,59290.0,156602.0,45786.0,0.0,0.0,29736.0,28286.0,1450.0,32002.0,0.0,32002.0,61738.0,126.0,0.0,581.0,15167.0,38808.0,889.0,0.0,1403.0,162.0,7764.0,7926.0,49857.0,0.0,121576.0,1209024.0,30603.0,190806.0,162372.0,154513.0,158449.0,162538.0,64882.0,0.0,0.0,0.0,0.0,3870761,1942529,949657,292468,2622517,46156.0
34,32317.0,24911.0,24787.0,67985.0,23664.0,15.0,7.0,8803.0,4175.0,4628.0,11529.0,3236.0,11529.0,20332.0,5.0,0.0,46.0,1985.0,10248.0,919.0,1.0,1491.0,0.0,3478.0,3478.0,5921.0,0.0,31467.0,314634.0,5036.0,63335.0,54410.0,54528.0,60449.0,62275.0,24771.0,0.0,150.0,295.0,0.0,0,0,0,0,0,13399.0
35,52706.0,0.0,31620.0,43468.0,46054.0,0.0,0.0,17310.0,16107.0,1203.0,19626.0,0.0,19626.0,36936.0,0.0,0.0,101.0,5774.0,32939.0,862.0,1445.0,1090.0,41.0,11276.0,11317.0,19708.0,0.0,73637.0,922711.0,17309.0,45728.0,45321.0,41653.0,42035.0,44452.0,44452.0,0.0,330.0,2487.0,0.0,1615570,977257,399884,189726,1025909,33624.0
36,130291.0,6612.0,103910.0,126151.0,54981.0,3068.0,524.0,60632.0,39417.0,21215.0,33930.0,25136.0,33930.0,94562.0,1084.0,1.0,233.0,29935.0,8503.0,977.0,18.0,943.0,31.0,16127.0,16158.0,37320.0,0.0,207150.0,2289401.0,23521.0,132064.0,100268.0,94876.0,87047.0,120473.0,120473.0,0.0,5133.0,3157.0,92.0,4310879,2438763,862843,503625,2943836,107239.0
37,14594.0,32877.0,35470.0,43023.0,32946.0,3287.0,2337.0,13463.0,6042.0,7421.0,22972.0,19173.0,22972.0,36435.0,1705.0,340.0,12518.0,12812.0,24962.0,600.0,13261.0,694.0,25.0,2560.0,2585.0,18467.0,3384.0,270919.0,989481.0,14076.0,47876.0,51337.0,49241.0,46863.0,27423.0,48304.0,0.0,3.0,5648.0,0.0,1918854,1189400,530300,229275,1157594,40064.0
38,50380.0,18084.0,16686.0,86356.0,15761.0,6818.0,0.0,6569.0,3368.0,3201.0,10446.0,1063.0,10446.0,17015.0,2.0,0.0,81.0,4811.0,10258.0,875.0,47.0,147.0,65.0,4320.0,4385.0,11077.0,0.0,40757.0,280617.0,7785.0,77223.0,73327.0,71908.0,74798.0,74640.0,18302.0,0.0,1.0,2950.0,0.0,1730435,844365,431043,128192,1170511,10530.0
39,52746.0,52746.0,47449.0,47853.0,2094.0,0.0,0.0,6654.0,952.0,5702.0,13841.0,64.0,13841.0,20495.0,0.0,82.0,126.0,19766.0,24446.0,902.0,116.0,21.0,38.0,3796.0,3834.0,22292.0,46.0,68993.0,1227953.0,0.0,46792.0,46978.0,42488.0,45537.0,44871.0,40688.0,0.0,0.0,3271.0,0.0,1571298,908632,396000,107087,1067597,27969.0
40,53740.0,0.0,17032.0,75282.0,24080.0,0.0,0.0,10106.0,6296.0,3810.0,14790.0,0.0,14790.0,24896.0,3670.0,0.0,0.0,4931.0,0.0,866.0,3.0,13.0,31.0,2608.0,2639.0,19238.0,0.0,183654.0,492600.0,9013.0,82099.0,73917.0,67061.0,71290.0,72131.0,168130.0,0.0,0.0,0.0,0.0,1722904,1064090,425910,165612,1130850,9636.0
41,156180.0,0.0,101460.0,140826.0,57173.0,0.0,0.0,43759.0,9029.0,34730.0,31527.0,28984.0,31527.0,75286.0,1780.0,0.0,676.0,1707.0,0.0,955.0,333.0,0.0,322.0,5520.0,5842.0,43148.0,0.0,267423.0,3209060.0,45999.0,133324.0,121207.0,116793.0,115643.0,119573.0,119573.0,0.0,0.0,0.0,0.0,4453159,3055774,1169155,295055,2982094,89700.0
42,55902.0,37758.0,39390.0,57468.0,683413.0,205.0,5.0,3210.0,2238.0,972.0,15747.0,1013.0,15747.0,18957.0,6.0,0.0,29.0,5540.0,9148.0,893.0,8.0,636.0,244.0,141.0,385.0,2498.0,0.0,6278.0,99873.0,8030.0,52756.0,47716.0,40639.0,48488.0,57026.0,7585.0,0.0,0.0,0.0,0.0,1500729,695136,385965,210125,904581,21758.0
43,12405.0,0.0,7345.0,88176.0,200399.0,0.0,0.0,3530.0,1943.0,1587.0,28003.0,0.0,28003.0,31533.0,454.0,13.0,412.0,12280.0,6548.0,874.0,52.0,1689.0,60.0,11298.0,11358.0,43503.0,0.0,201456.0,3524841.0,32968.0,111889.0,98749.0,89781.0,97167.0,96781.0,96781.0,0.0,1515.0,4558.0,10.0,3757433,1755165,920480,257037,2575739,64737.0
44,95919.0,21401.0,67285.0,76939.0,53726.0,1846.0,214.0,42010.0,30478.0,11532.0,26265.0,21596.0,26275.0,68285.0,3587.0,0.0,105.0,8382.0,27428.0,835.0,6.0,0.0,45.0,12599.0,12644.0,25581.0,1289.0,105291.0,536160.0,6590.0,87314.0,93819.0,88728.0,87023.0,83194.0,83194.0,0.0,0.0,0.0,0.0,3348236,1637331,538239,533326,2269610,67644.0
45,32573.0,32573.0,30287.0,33048.0,21724.0,0.0,0.0,6447.0,5776.0,671.0,19268.0,16519.0,19268.0,25715.0,18.0,3.0,282.0,11239.0,17201.0,923.0,56.0,0.0,29.0,7409.0,7438.0,10695.0,0.0,50029.0,537874.0,14477.0,33290.0,29642.0,28872.0,32726.0,32613.0,32613.0,0.0,1716.0,1249.0,65.0,1142653,549992,335140,142261,664911,24621.0
46,124394.0,0.0,32528.0,162753.0,36038.0,0.0,0.0,0.0,0.0,0.0,34328.0,0.0,34328.0,34328.0,0.0,0.0,51.0,5252.0,0.0,873.0,67.0,6307.0,131.0,145.0,276.0,0.0,0.0,70295.0,543410.0,14312.0,173411.0,154858.0,145922.0,152185.0,149337.0,11830.0,0.0,0.0,0.0,0.0,4284189,2786924,1070017,312721,2892403,15548.0
47,30324.0,7871.0,15389.0,41610.0,9165.0,1167.0,292.0,1597.0,906.0,691.0,11757.0,0.0,12172.0,13769.0,0.0,0.0,0.0,1747.0,4964.0,0.0,0.0,84.0,54.0,4090.0,4144.0,6099.0,0.0,35056.0,240853.0,2077.0,37180.0,38713.0,36546.0,34779.0,37408.0,8352.0,0.0,0.0,3683.0,0.0,821921,424162,227728,106160,487827,0.0
48,76399.0,6268.0,24717.0,111587.0,30592.0,0.0,0.0,9681.0,5980.0,3701.0,16157.0,1940.0,16305.0,25986.0,18.0,28.0,187.0,5512.0,5847.0,930.0,0.0,4.0,90.0,6269.0,6359.0,9865.0,0.0,92883.0,148810.0,11987.0,113458.0,91697.0,88397.0,96018.0,106221.0,30700.0,0.0,0.0,0.0,0.0,2519984,1194889,450959,491852,1570744,19797.0
49,69456.0,7101.0,64118.0,64408.0,23080.0,0.0,0.0,19029.0,14134.0,4895.0,12855.0,0.0,12855.0,31884.0,0.0,0.0,75.0,4184.0,23820.0,902.0,0.0,71.0,0.0,2391.0,2391.0,11315.0,0.0,31004.0,423648.0,17071.0,56069.0,55217.0,53666.0,55166.0,56946.0,56966.0,0.0,0.0,0.0,0.0,1782454,1081487,405924,113376,1260699,27636.0
50,51305.0,43875.0,35460.0,45850.0,36968.0,20317.0,1243.0,19150.0,11623.0,7527.0,13519.0,4026.0,13519.0,32669.0,18.0,120.0,48.0,6253.0,28728.0,978.0,36.0,0.0,20.0,6582.0,6602.0,27166.0,0.0,117594.0,1281797.0,10221.0,42721.0,41971.0,39686.0,36575.0,29892.0,38482.0,0.0,20.0,0.0,0.0,2395064,1343132,577210,242044,1573881,30839.0
51,158332.0,14780.0,96935.0,165580.0,79393.0,0.0,0.0,73115.0,40649.0,32466.0,18179.0,2904.0,18179.0,91294.0,13.0,3.0,1684.0,19955.0,10169.0,1026.0,100.0,92.0,54.0,10592.0,10646.0,50685.0,0.0,142852.0,1261980.0,33416.0,202217.0,188168.0,180739.0,182601.0,187908.0,53342.0,0.0,71.0,23.0,0.0,2093881,1211405,396565,266838,1427835,54937.0
52,131635.0,34185.0,58681.0,112197.0,85626.0,1937.0,335.0,77202.0,64993.0,12209.0,11294.0,12574.0,11294.0,88496.0,5553.0,16340.0,445.0,22114.0,111292.0,940.0,860.0,6153.0,353.0,9524.0,9877.0,34466.0,189.0,191737.0,2003193.0,46398.0,106408.0,118958.0,109514.0,102687.0,103359.0,151671.0,0.0,2039.0,7567.0,0.0,3303227,1964548,841626,186411,2274646,114175.0
53,83022.0,897.0,23015.0,89413.0,195554.0,0.0,0.0,8408.0,8408.0,0.0,21164.0,2711.0,21164.0,29572.0,156.0,0.0,40.0,1880.0,11423.0,894.0,89.0,735.0,254.0,9121.0,9375.0,9956.0,0.0,57402.0,27472.0,2277.0,92982.0,176515.0,69231.0,76595.0,71080.0,0.0,0.0,0.0,0.0,0.0,2376000,1258092,525344,299649,1547659,17681.0
54,102160.0,22334.0,33619.0,170641.0,32261.0,13346.0,28.0,16642.0,7584.0,9058.0,25444.0,6423.0,25444.0,42086.0,670.0,0.0,139.0,12693.0,373.0,1165.0,29.0,1615.0,22.0,3939.0,3961.0,14654.0,266.0,88921.0,626165.0,20195.0,181714.0,159917.0,148506.0,160595.0,176465.0,46506.0,0.0,0.0,1458.0,21.0,4460687,1942462,1070314,268679,3117800,15585.0
55,92139.0,12050.0,24541.0,126581.0,27987.0,622.0,45.0,22630.0,18927.0,3703.0,20092.0,3241.0,24271.0,46901.0,490.0,463.0,449.0,4184.0,14309.0,787.0,1040.0,1991.0,67.0,2698.0,2765.0,14918.0,0.0,145465.0,683482.0,28180.0,152715.0,188604.0,109351.0,158369.0,158265.0,72047.0,0.0,358.0,466.0,20.0,3953508,2189731,1025991,224427,2697904,26430.0
56,53012.0,31976.0,26940.0,50113.0,34865.0,1540.0,125.0,26099.0,10782.0,15317.0,8547.0,6522.0,8547.0,34646.0,16.0,0.0,185.0,2845.0,2119.0,893.0,59.0,181.0,99.0,4330.0,4429.0,9488.0,0.0,61171.0,813640.0,11708.0,54903.0,54850.0,49922.0,50665.0,49496.0,49496.0,0.0,321.0,1797.0,0.0,1906611,919322,429712,136443,1339550,37465.0
57,89542.0,24286.0,36582.0,113697.0,24040.0,0.0,0.0,13598.0,9875.0,3723.0,34734.0,10745.0,34734.0,48332.0,38.0,11.0,186.0,8516.0,21972.0,658.0,132.0,1902.0,86.0,7249.0,7335.0,10775.0,0.0,65053.0,477938.0,15696.0,127226.0,104518.0,105837.0,118071.0,123088.0,31533.0,0.0,226.0,2349.0,0.0,3057573,1706563,560577,452667,2038642,27312.0
58,97912.0,52348.0,56098.0,127120.0,52328.0,0.0,0.0,32977.0,22468.0,10509.0,35901.0,0.0,35901.0,68878.0,0.0,0.0,310.0,955.0,19549.0,527.0,18.0,838.0,46.0,7760.0,7806.0,35913.0,0.0,125857.0,1393455.0,23520.0,132553.0,126036.0,123707.0,127957.0,123222.0,65387.0,0.0,5.0,28.0,507.0,3235954,1720079,649527,491597,2088729,22411.0
59,40630.0,0.0,12624.0,70599.0,14607.0,0.0,0.0,8020.0,4907.0,3113.0,8731.0,0.0,8731.0,16751.0,77.0,27.0,0.0,668.0,0.0,817.0,0.0,356.0,16.0,2398.0,2414.0,7497.0,0.0,47375.0,369392.0,4565.0,78639.0,72267.0,66885.0,75865.0,86198.0,11361.0,124.0,0.0,0.0,0.0,2203693,880129,529740,140874,1529361,2539.0
60,75642.0,30017.0,55623.0,105822.0,72634.0,0.0,0.0,77702.0,46945.0,30757.0,22053.0,0.0,22053.0,99755.0,1813.0,61.0,1587.0,15382.0,0.0,903.0,597.0,950.0,927.0,6599.0,7526.0,25002.0,0.0,152772.0,1826890.0,42276.0,96916.0,96809.0,93928.0,96868.0,96848.0,96848.0,0.0,1352.0,252.0,0.0,3284671,1862484,820664,145143,2318362,77702.0
61,48087.0,0.0,34340.0,43357.0,33870.0,0.0,0.0,20145.0,12896.0,7249.0,11842.0,1675.0,11842.0,31987.0,6.0,0.0,82.0,8863.0,1084.0,909.0,49.0,46.0,118.0,2845.0,2963.0,14765.0,0.0,62412.0,364755.0,7394.0,49422.0,38831.0,36597.0,36326.0,40867.0,44479.0,0.0,47.0,250.0,0.0,1620781,819444,274004,247058,1096270,32273.0
62,22371.0,4070.0,21940.0,28528.0,15888.0,0.0,0.0,5324.0,4558.0,766.0,18310.0,210.0,18310.0,23634.0,0.0,0.0,9.0,623.0,3370.0,851.0,3.0,0.0,66.0,2522.0,2588.0,8605.0,0.0,43766.0,357740.0,3055.0,24958.0,23588.0,21597.0,22521.0,22810.0,11367.0,0.0,780.0,2588.0,0.0,0,0,0,0,0,12754.0
