Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
dewas,1536066,894125,517632,206832,811201
sidhi,1183083,615069,294882,188837,697883
chhatarpur,1731249,905946,541438,192653,996947
mandsaur,1323851,819341,526405,141476,655799
mandla,1037617,586929,324856,223057,488289
eastnimar,0,0,0,0,0
narsimhapur,1077627,708782,353071,116690,607770
raisen,1309352,802428,363583,142370,803122
bhopal,2312134,1602134,682160,152417,1476326
bhind,1673339,1064702,419505,101307,1150832
guna,1278631,667126,365891,163569,748975
dhar,2136541,1036954,761885,241873,1132593
vidisha,1432414,833237,391854,147529,892765
shajapur,1488862,878783,501084,207413,780279
balaghat,1680136,1116363,526654,350704,802011
shahdol,1108513,618833,256519,249808,599027
datia,769250,478123,245055,75373,447355
jhabua,1057093,356297,380930,152306,523436
sagar,2340150,1496581,763664,224304,1352101
shivpuri,1695286,876191,570247,177533,947404
indore,3184849,2222509,1093298,130531,1959903
katni,1267213,763294,313971,218215,734296
betul,1556342,921260,501162,266631,787458
ujjain,1957383,1216278,672105,209911,1075247
umaria,630549,343846,138909,141022,348949
sheopur,673798,313347,191315,80799,401580
panna,999263,537687,275047,150419,573470
westnimar,0,0,0,0,0
rajgarh,1513819,774066,468296,263632,781125
neemuch,815476,497151,350027,60741,404325
chhindwara,2065401,1263822,661408,276988,1126454
barwani,1351928,525683,510343,128638,712345
jabalpur,2430143,1716597,731349,251067,1446694
dindori,691040,364981,251149,130532,307429
morena,1925009,1140000,513570,153348,1257811
hoshangabad,1224667,791191,354231,113865,756382
rewa,2322656,1388763,625576,352290,1344295
damoh,1244918,724881,385673,179255,679801
tikamgarh,1418902,724302,462349,183405,773020
seoni,1356242,838128,395882,275003,684310
sehore,1285997,753666,365226,205491,714818
harda,560043,341670,162571,66566,330700
gwalior,1987985,1310384,546745,121205,1319923
satna,2190151,1327066,606464,285693,1296913
ratlam,1429114,809111,464071,210557,753836
