Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
amritsar,2233905,1632675,721186,113116,1400402
mansa,813751,494594,257572,99945,459273
muktsar,971373,607570,299233,49765,623439
patiala,1921583,1347356,561301,88383,1273311
gurdaspur,2402108,1801902,656648,130924,1615039
nawanshahr,0,0,0,0,0
kapurthala,847295,626993,257163,38405,551772
firozpur,2187315,1430963,664242,153200,1370049
jalandhar,2319029,1777446,739703,88823,1490836
ludhiana,3757882,2870771,1190568,169950,2400460
sangrur,1505669,983018,418130,57267,1039764
moga,1050380,707506,306025,53380,693671
faridkot,653778,433021,194835,32909,426579
fatehgarhsahib,633864,471815,198496,20922,415268
bathinda,1504125,976402,476280,100215,929378
rupnagar,536201,408862,135813,39093,367565
hoshiarpur,1642376,1282140,408970,84446,1151931
