Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
kollam,2635375,2240273,695299,216725,1723350
pathanamthitta,1197412,1062552,293257,99537,804618
idukki,1108973,923009,415947,100415,592610
thrissur,3121199,2678548,929506,166221,2025473
kannur,2523002,2138433,694209,129906,1698887
kasaragod,1307374,1037491,372700,90297,844377
kozhikode,3086293,2615443,754187,194794,2137311
kottayam,1974550,1749798,604553,131181,1238815
thiruvananthapuram,3301426,2785407,921281,310386,2069758
wayanad,817419,645584,263444,76632,477342
palakkad,2809934,2239491,875539,166800,1767593
malappuram,4112920,3311314,852046,210377,3050495
ernakulam,3282387,2855675,1061388,187955,2033044
alappuzha,2127789,1852797,596386,208083,1323317
