Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
kollam,2650614,2287281,707922,231585,1713485
pathanamthitta,1186644,1066385,295518,106198,786530
idukki,1102970,935535,420633,104956,578584
thrissur,3166690,2755376,969056,172697,2027439
kannur,2558258,2191250,715785,126936,1716409
kasaragod,1340058,1088592,387346,90362,862644
kozhikode,3151300,2705815,795697,202181,2155984
kottayam,1980866,1775025,625519,141240,1217809
thiruvananthapuram,3321818,2857328,954564,339840,2035988
wayanad,828794,667800,278160,73311,478955
palakkad,2870382,2338477,910427,164014,1797185
malappuram,4271555,3499350,906983,219496,3146550
ernakulam,3337297,2944392,1109436,184117,2046538
alappuzha,2133409,1881906,612038,218690,1305126
